Book name,Author,Rating,Image links
Argonaut The Inua Humpback,Clifford L. Gionet,5,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1585513732i/52673503._SX50_.jpg
Anti-Matter (Beyond The Green New Deal and Survival of the Human Race - Book Series.),Michael Mathiesen,5,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1531146322i/40703476._SX50_.jpg
Sharper Mind Darker Dreams,Leonard Seet,5,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1578593925i/50372215._SY75_.jpg
It Takes A Village l: The Beginning.,Marley Claire,5,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1426191648i/25012645._SY75_.jpg
"A Tangle of Deception (Illusions and Shadows, #2)",Diane Henson,5,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1557725044i/44677725._SX50_.jpg
"Warped Justice (Illusions and Shadows, #3)",Diane Henson,5,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1557694596i/44677207._SX50_.jpg
Mart of Darkness: When More is Not Enough,Phil Granchi,5,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1626376852i/58562751._SX50_.jpg
Pour Morgane (Romans),Nicolas Antoniucci,5,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1678569867i/91582208._SY75_.jpg
Fer-Or: Contre la Terre Soleil,Nicolas Antoniucci,5,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1680715222i/114874123._SY75_.jpg
Cnidaria: Reine Méduse,Nicolas Antoniucci,5,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1680710801i/114811622._SY75_.jpg
Technopathy,Chantal Boudreau,5,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/nophoto/book/111x148._SX50_.png
Priestess of the Stone Circle,Jerome Brooke,5,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1352868463i/16148941._SX50_.jpg
Diary of Evil,Rick Royster,5,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1454258039i/16150976._SX50_.jpg
Mistica,Thomas G. Dixon,5,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1396544898i/21842219._SY75_.jpg
Katy Cooper in The Thunder Pit,H. Frank Woods,5,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1397607635i/21935982._SX50_.jpg
"Bright White Darkness, New York Shift",A.G. Betts,5,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1419082757i/23974407._SX50_.jpg
"Sphynx: The Story of the Star People (How I Spent My Summer Vacation, #2)",Thomas C. Gallo,5,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1461628359i/30007846._SY75_.jpg
Elements: Awakening,Fahad Zubaid,5,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1471011270i/31432675._SX50_.jpg
The Fall of the Rule,E.K. Fielding,5,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1508458350i/36434326._SX50_.jpg
Assault On Utopia: Part 1,Steven P Sharp,5,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1472929629i/31830406._SX50_.jpg
Preserving Creata (Han Storm: The Chronicles of Han: Creata Trilogy #1),H.  Gibson,5,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1409923164i/17932550._SX50_.jpg
The Solterian Keeper and the Enchanted Talisman,R.K. Appling,5,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1526396222i/40106764._SY75_.jpg
Freaks Chained (Freaks #1-5),J.O. Young,5,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1531833812i/40833774._SX50_.jpg
Land of Tornadoes,Melanie Sovran Wolfe,5,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1595129665i/54587100._SY75_.jpg
Space Glass,Kurt Aaron Russell,5,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1624615077i/58421673._SY75_.jpg
Kevin Glass: War of the Worlds,Braden King,5,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1636073863i/59542603._SY75_.jpg
CHILDREN OF THE 6TH EXTINCTION,Kristin Marquis,5,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1590715251i/53596348._SX50_.jpg
Binary Stars,Kristin Yuan Roybal,5,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1655157646i/61284898._SY75_.jpg
Women on Top: Omnibus,Daniel Silman,5,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1679425590i/123328704._SY75_.jpg
Dream Sequences,Jeff Henry,5,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1636420109i/59574001._SX50_.jpg
Memoirs Of An Everyday Ex-General: A Dystopian American Tale,Sage Baker,5,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1707783385i/208415758._SY75_.jpg
Evolution (FLASH FICTION Book 1),G.M. Genovese,5,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1721876008i/216818833._SY75_.jpg
Were-Dinosaurs: Chasm of Extinction,S. B. Clark,5,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1719020880i/214150553._SY75_.jpg
RepositioneD: The Altered Science Paradox,D Scott Roberts,5,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1740200321i/228258826._SY75_.jpg
"Atlantis and the Seven Andarean Orbs (Ariom, the Astro-Alchemist Series Book 1)",Mario Messina-Azekri,5,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1703044510i/204134127._SY75_.jpg
"Kellan: Children of Anzulla, Part Two of Book One: Finding Love in the World of Titans",Kashel Char,5,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1756547424i/240958824._SY75_.jpg
The Wonder Feast: A measure of magical attack power,N. Sakr,5,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1754300962i/239690209._SY75_.jpg
Varakite: A Timecrack Adventure (The Timecrack Adventures Book 3),William Long,5,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1646407255i/60283935._SY75_.jpg
¿Y si pudieras?,Lynne Harley,5,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1704829175i/205098812._SX50_.jpg
"El Arca, La caída de la Tierra",Vanya M.G,5,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1764192560i/244475510._SY75_.jpg
Verse I: Separated and En-Tranced (The Universal Testaments: Neoteric Book 1),L.E. Hovdenes,5,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1763761421i/244259453._SY75_.jpg
Ultimatum: The Visitors,Jason Elkins,5,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1724136089i/217879729._SY75_.jpg
First 10 Days: Book 1,E. O Cogburn,5,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1764795043i/244752509._SX50_.jpg
The First Son Of Man,P.E.N.  Bortolotti,5,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1740532472i/228433338._SX50_.jpg
The Flash Bulb Factory: An Unusual Small-Town Science Fiction Mystery,Thomas Gibbons,5,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1726132704i/218736082._SY75_.jpg
Ten Thousand Secrets National Park (Tales from Apple Island Book 1),Hilary a B Lambert,5,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1591278622i/53819913._SX50_.jpg
THE 13th DOMINION: a novel,Steven Maines,5,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1683310167i/149060181._SY75_.jpg
"Sparks of War: In a battle of wills spanning the galaxy, some will rise, and some will fall…",T. Russell Benedict,5,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1447892976i/27857624._SY75_.jpg
Angelians,Dennis Meredith,5,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1768468854i/246608997._SX50_.jpg
The Hollow Orchestrator,Joe Morra,5,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1772538949i/249232324._SY75_.jpg
Skin Walker Academy: Morgan McGee Cowboys and Jockeys,M. Hodgkiss,5,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1719008503i/213303203._SY75_.jpg
Shadow of Truth: Ascension Protocol: A Philosophical AI Science Fiction Novel,Adam Sterling,5,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1773218648i/249556908._SX50_.jpg
Stargazing at the June Bug Ranch: Justice Demands Satisfaction,Jesse R Traynham,5,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1758588134i/241946201._SY75_.jpg
THE UNLOVED BOGYMAN,Mathew Alfes,5,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1737051926i/223699422._SY75_.jpg
EarthWombyn Codex: A Living Transmission for Weavers of Light and Architects of the New Earth,Patricia Walls,5,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1768529380i/246446967._SY75_.jpg
